retail_type,date_period,turnover_index,average_anual_variation_rate,Year_on_year_rate_of_change,monthly_rate_of_change
,Janeiro de 2022,90.32,7.7,6.5,-28.9
,Dezembro de 2021,127.07,6.1,8.3,23.4
,Novembro de 2021,103,4.8,15,-4.8
,Outubro de 2021,108.25,2.9,9.7,1.3
,Setembro de 2021,106.81,1.3,8.9,-6.9
,Agosto de 2021,114.68,0,11.2,5.2
,Julho de 2021,108.99,-2.6,7.4,7.2
,Junho de 2021,101.64,-4.3,13.5,1
,Maio de 2021,100.64,-6.4,18.1,5.2
,Abril de 2021,95.71,-9.4,15.8,0.6
,Março de 2021,95.18,-12,-2.9,19.2
,Fevereiro de 2021,79.82,-11.9,-16.2,-5.9
,Janeiro de 2021,84.8,-10.1,-12.1,-27.7
,Dezembro de 2020,117.36,-8.9,-4.4,31
,Novembro de 2020,89.58,-8,-8.4,-9.3
,Outubro de 2020,98.72,-8.4,-8.8,0.7
,Setembro de 2020,98.06,-7.1,-5.8,-4.9
,Agosto de 2020,103.12,-6.3,-16.2,1.6
,Julho de 2020,101.51,-3.4,-12.2,13.3
,Junho de 2020,89.56,-1.9,-14.2,5.1
,Maio de 2020,85.25,-1.1,-21.8,3.1
,Abril de 2020,82.68,1,-21.3,-15.7
,Março de 2020,98.07,3.6,-1.3,3
,Fevereiro de 2020,95.23,3,9.8,-1.3
,Janeiro de 2020,96.45,2.4,5.1,-21.4
,Dezembro de 2019,122.73,2.1,5.6,25.5
,Novembro de 2019,97.81,1.3,3.6,-9.7
,Outubro de 2019,108.28,0.7,4.7,4
,Setembro de 2019,104.07,0.4,1.8,-15.4
,Agosto de 2019,123.03,-0.3,3.8,6.4
,Julho de 2019,115.65,-0.6,3.8,10.8
,Junho de 2019,104.36,-1.1,-4,-4.3
,Maio de 2019,109.03,-0.7,1.6,3.8
,Abril de 2019,105,-0.8,10.5,5.7
,Março de 2019,99.34,-2.4,-7.7,14.5
,Fevereiro de 2019,86.74,-1.4,0.2,-5.5
,Janeiro de 2019,91.76,-1.3,1,-21
CR3: Comércio a retalho de produtos não alimentares,Outubro de 2023,134.41,1.8,-0.1,1.8
,Setembro de 2023,132.02,2.7,0.1,-1.1
,Agosto de 2023,133.45,3.5,-2.9,-5.1
,Julho de 2023,,,,
,Junho de 2023,130.09,5.9,-0.6,-2.2
,Maio de 2023,133.08,7.1,-0.5,7.7
,Abril de 2023,123.62,8.3,0.8,-5.1
,Março de 2023,130.27,9.7,0.9,13.3
,Fevereiro de 2023,115.01,12,2.2,-7.4
,Janeiro de 2023,124.19,14.5,10.7,-21.6
,Dezembro de 2022,158.4,15.5,7,13.8
